リーグ,チーム,選手名,背番号,ポジション,区分,打率,打数,安打,本塁打,打点,三振,四球,死球,犠打,犠飛
セ,横浜DeNAベイスターズ,エンカーナシオン,69,外野手,対右,0.4,10,4,0,,0,0,0,0,0
セ,横浜DeNAベイスターズ,エンカーナシオン,69,外野手,対左,0.25,4,1,0,,1,0,0,0,0
セ,横浜DeNAベイスターズ,ヒュンメル,99,外野手,対右,0.159,63,10,0,,26,7,2,0,0
セ,横浜DeNAベイスターズ,ヒュンメル,99,外野手,対左,0.258,66,17,5,,23,8,1,0,1
セ,横浜DeNAベイスターズ,井上朋也,40,内野手,対右,0,4,0,0,,4,0,0,0,0
セ,横浜DeNAベイスターズ,井上朋也,40,内野手,対左,0,4,0,0,,0,1,0,0,0
セ,横浜DeNAベイスターズ,加藤響,37,内野手,対左,0,1,0,0,,1,0,0,0,0
セ,横浜DeNAベイスターズ,蝦名達夫,61,外野手,対右,0.227,119,27,2,,37,8,6,0,0
セ,横浜DeNAベイスターズ,蝦名達夫,61,外野手,対左,0.253,95,24,1,,19,8,2,1,0
セ,横浜DeNAベイスターズ,梶原昂希,58,外野手,対右,0.304,23,7,1,,8,1,0,1,0
セ,横浜DeNAベイスターズ,梶原昂希,58,外野手,対左,0.091,11,1,0,,5,2,1,0,0
セ,横浜DeNAベイスターズ,宮下朝陽,34,内野手,対右,0.133,30,4,0,,17,2,0,1,0
セ,横浜DeNAベイスターズ,宮下朝陽,34,内野手,対左,0.262,42,11,2,,7,1,0,0,0
セ,横浜DeNAベイスターズ,宮﨑敏郎,51,内野手,対右,0.311,103,32,5,,19,10,2,0,1
セ,横浜DeNAベイスターズ,宮﨑敏郎,51,内野手,対左,0.21,81,17,2,,6,7,1,0,0
セ,横浜DeNAベイスターズ,京田陽太,9,内野手,対右,0.235,81,19,1,,16,3,2,0,0
セ,横浜DeNAベイスターズ,京田陽太,9,内野手,対左,0.316,19,6,0,,6,1,1,1,0
セ,横浜DeNAベイスターズ,九鬼隆平,95,捕手,対右,0.667,3,2,0,,1,0,0,0,0
セ,横浜DeNAベイスターズ,九鬼隆平,95,捕手,対左,0,6,0,0,,3,0,0,0,0
セ,横浜DeNAベイスターズ,古市尊,60,捕手,対右,0,3,0,0,,0,0,0,0,0
セ,横浜DeNAベイスターズ,古市尊,60,捕手,対左,0,3,0,0,,1,0,0,0,0
セ,横浜DeNAベイスターズ,戸柱恭孝,10,捕手,対右,0.25,24,6,0,,3,4,0,0,1
セ,横浜DeNAベイスターズ,戸柱恭孝,10,捕手,対左,0.077,13,1,0,,2,0,0,0,0
セ,横浜DeNAベイスターズ,佐野恵太,7,外野手,対右,0.276,163,45,3,,28,24,1,0,0
セ,横浜DeNAベイスターズ,佐野恵太,7,外野手,対左,0.214,103,22,1,,15,9,0,0,0
セ,横浜DeNAベイスターズ,三森大貴,26,内野手,対右,0.258,66,17,0,,16,5,0,0,1
セ,横浜DeNAベイスターズ,三森大貴,26,内野手,対左,0.262,42,11,0,,11,2,0,0,0
セ,横浜DeNAベイスターズ,勝又温史,28,外野手,対右,0.308,117,36,0,,21,2,2,1,1
セ,横浜DeNAベイスターズ,勝又温史,28,外野手,対左,0.338,71,24,2,,11,0,1,0,0
セ,横浜DeNAベイスターズ,小田康一郎,3,内野手,対右,0,6,0,0,,3,1,0,0,0
セ,横浜DeNAベイスターズ,小田康一郎,3,内野手,対左,0,1,0,0,,0,0,0,0,0
セ,横浜DeNAベイスターズ,松尾汐恩,5,捕手,対右,0.182,88,16,0,,15,5,1,1,0
セ,横浜DeNAベイスターズ,松尾汐恩,5,捕手,対左,0.379,58,22,2,,1,3,0,0,0
セ,横浜DeNAベイスターズ,神里和毅,8,外野手,対右,0.125,8,1,0,,2,1,0,1,0
セ,横浜DeNAベイスターズ,神里和毅,8,外野手,対左,0.143,7,1,0,,5,1,0,0,0
セ,横浜DeNAベイスターズ,成瀬脩人,48,内野手,対右,0.235,17,4,0,,8,0,0,0,0
セ,横浜DeNAベイスターズ,成瀬脩人,48,内野手,対左,0.25,32,8,0,,8,0,0,0,0
セ,横浜DeNAベイスターズ,石上泰輝,44,内野手,対右,0.208,48,10,0,,15,4,0,1,1
セ,横浜DeNAベイスターズ,石上泰輝,44,内野手,対左,0.143,21,3,0,,2,1,0,1,0
セ,横浜DeNAベイスターズ,度会隆輝,4,外野手,対右,0.284,148,42,3,,20,10,2,0,0
セ,横浜DeNAベイスターズ,度会隆輝,4,外野手,対左,0.269,93,25,2,,15,7,0,1,0
セ,横浜DeNAベイスターズ,筒香嘉智,25,内野手,対右,0.28,93,26,4,,24,13,1,0,2
セ,横浜DeNAベイスターズ,筒香嘉智,25,内野手,対左,0.143,49,7,0,,17,10,0,0,0
セ,横浜DeNAベイスターズ,牧秀悟,2,内野手,対右,0.327,101,33,8,,20,7,2,0,1
セ,横浜DeNAベイスターズ,牧秀悟,2,内野手,対左,0.259,54,14,1,,12,8,2,0,0
セ,横浜DeNAベイスターズ,林琢真,0,内野手,対右,0.262,42,11,0,,10,4,0,0,1
セ,横浜DeNAベイスターズ,林琢真,0,内野手,対左,0.2,35,7,1,,14,2,0,1,0
セ,広島東洋カープ,ファビアン,61,外野手,対右,0.244,90,22,4,,21,6,5,0,1
セ,広島東洋カープ,ファビアン,61,外野手,対左,0.077,39,3,1,,4,2,1,0,1
セ,広島東洋カープ,モンテロ,95,内野手,対右,0.179,95,17,1,,33,9,1,0,1
セ,広島東洋カープ,モンテロ,95,内野手,対左,0.314,70,22,5,,14,4,0,0,1
セ,広島東洋カープ,菊池涼介,33,内野手,対右,0.23,139,32,2,,38,17,0,10,1
セ,広島東洋カープ,菊池涼介,33,内野手,対左,0.274,73,20,0,,15,12,0,1,2
セ,広島東洋カープ,佐々木泰,10,内野手,対右,0.214,103,22,1,,13,6,1,0,0
セ,広島東洋カープ,佐々木泰,10,内野手,対左,0.237,59,14,2,,7,4,0,1,0
セ,広島東洋カープ,佐藤啓介,94,内野手,対右,0.231,26,6,0,,7,0,1,0,0
セ,広島東洋カープ,佐藤啓介,94,内野手,対左,0,3,0,0,,1,0,0,0,0
セ,広島東洋カープ,坂倉将吾,31,捕手,対右,0.253,162,41,5,,41,27,1,0,2
セ,広島東洋カープ,坂倉将吾,31,捕手,対左,0.3,80,24,3,,14,3,0,0,0
セ,広島東洋カープ,持丸泰輝,57,捕手,対右,0.204,98,20,1,,25,11,2,4,1
セ,広島東洋カープ,持丸泰輝,57,捕手,対左,0.235,34,8,3,,9,5,0,3,0
セ,広島東洋カープ,秋山翔吾,9,外野手,対右,0.241,58,14,2,,12,1,0,0,0
セ,広島東洋カープ,秋山翔吾,9,外野手,対左,0.25,16,4,0,,3,1,1,0,0
セ,広島東洋カープ,勝田成,0,内野手,対右,0.205,78,16,0,,14,7,2,3,0
セ,広島東洋カープ,勝田成,0,内野手,対左,0.1,20,2,0,,6,0,0,0,0
セ,広島東洋カープ,小園海斗,5,内野手,対右,0.234,175,41,1,,28,15,1,0,0
セ,広島東洋カープ,小園海斗,5,内野手,対左,0.256,82,21,0,,6,5,2,1,1
セ,広島東洋カープ,石原貴規,32,捕手,対右,0.292,24,7,0,,7,2,0,0,0
セ,広島東洋カープ,石原貴規,32,捕手,対左,0.211,19,4,1,,3,2,0,0,0
セ,広島東洋カープ,前川誠太,93,内野手,対右,0,13,0,0,,5,1,0,0,0
セ,広島東洋カープ,前川誠太,93,内野手,対左,0.286,7,2,0,,1,1,0,0,0
セ,広島東洋カープ,大盛穂,59,外野手,対右,0.206,131,27,3,,42,6,1,3,0
セ,広島東洋カープ,大盛穂,59,外野手,対左,0.308,65,20,1,,18,2,0,1,0
セ,広島東洋カープ,辰見鴻之介,69,内野手,対右,0,2,0,0,,1,1,0,0,0
セ,広島東洋カープ,辰見鴻之介,69,内野手,対左,0.143,14,2,0,,5,0,0,1,0
セ,広島東洋カープ,中村奨成,96,外野手,対右,0.152,46,7,0,,7,1,0,3,0
セ,広島東洋カープ,中村奨成,96,外野手,対左,0.231,26,6,0,,3,2,0,3,0
セ,広島東洋カープ,田村俊介,60,外野手,対右,0.1,10,1,0,,2,0,0,0,0
セ,広島東洋カープ,田村俊介,60,外野手,対左,0,2,0,0,,0,0,0,0,0
セ,広島東洋カープ,渡邉悠斗,49,内野手,対右,0,1,0,0,,1,0,0,0,0
セ,広島東洋カープ,渡邉悠斗,49,内野手,対左,0,3,0,0,,0,0,0,0,0
セ,広島東洋カープ,二俣翔一,99,内野手,対右,0.269,26,7,1,,10,1,1,1,0
セ,広島東洋カープ,二俣翔一,99,内野手,対左,0.15,20,3,0,,6,0,0,0,1
セ,広島東洋カープ,平川蓮,51,外野手,対右,0.162,74,12,0,,24,3,1,1,0
セ,広島東洋カープ,平川蓮,51,外野手,対左,0.25,28,7,1,,12,2,0,0,0
セ,広島東洋カープ,名原典彦,92,外野手,対右,0.322,87,28,2,,11,5,1,0,1
セ,広島東洋カープ,名原典彦,92,外野手,対左,0.233,43,10,1,,5,0,0,2,0
セ,広島東洋カープ,野間峻祥,37,外野手,対右,0.226,62,14,0,,9,8,1,0,1
