選手名,チーム,試合,打率,本塁打,打点,安打,盗塁,出塁率,長打率,OPS,打席
赤星 優志,巨人,20,0,0,0,0,0,0,0,0,2
浅野 翔吾,巨人,7,0.174,1,1,4,0,0.208,0.348,0.556,24
石川 達也,巨人,6,0,0,0,0,0,0,0,0,0
石塚 裕惺,巨人,3,0.091,0,2,1,0,0.091,0.273,0.364,11
泉口 友汰,巨人,56,0.227,4,17,45,4,0.309,0.338,0.647,224
泉 圭輔,巨人,2,0,0,0,0,0,0,0,0,0
井上 温大,巨人,12,0.053,0,2,1,0,0.048,0.053,0.101,22
ウィットリー,巨人,10,0,0,1,0,0,0.111,0,0.111,18
宇都宮 葵星,巨人,6,0.5,0,0,1,0,0.5,0.5,1,2
浦田 俊輔,巨人,59,0.262,0,12,50,17,0.313,0.309,0.622,215
大城 卓三,巨人,50,0.293,7,17,43,0,0.354,0.517,0.871,161
甲斐 拓也,巨人,2,0,0,0,0,0,0,0,0,1
門脇 誠,巨人,43,0.176,0,1,6,1,0.176,0.294,0.47,35
キャベッジ,巨人,68,0.249,12,27,61,4,0.284,0.441,0.725,257
岸田 行倫,巨人,42,0.268,4,15,34,0,0.326,0.37,0.696,145
北浦 竜次,巨人,11,0,0,0,0,0,0,0,0,0
小濱 佑斗,巨人,11,0.214,0,5,6,0,0.29,0.25,0.54,31
小林 誠司,巨人,6,0.167,0,0,1,0,0.286,0.333,0.619,7
坂本 勇人,巨人,36,0.145,2,5,12,0,0.217,0.229,0.446,92
佐々木 俊輔,巨人,59,0.242,5,16,39,3,0.287,0.404,0.691,173
笹原 操希,巨人,1,0,0,0,0,0,0,0,0,4
ダルベック,巨人,67,0.253,11,35,61,0,0.332,0.448,0.78,271
大勢,巨人,29,0,0,0,0,0,0,0,0,0
高梨 雄平,巨人,14,0,0,0,0,0,0,0,0,0
竹丸 和幸,巨人,11,0.067,0,1,1,0,0.067,0.067,0.134,16
田中 瑛斗,巨人,30,0,0,0,0,0,0,0,0,0
田中 将大,巨人,10,0,0,0,0,0,0,0,0,18
田和 廉,巨人,25,0,0,0,0,0,0,0,0,0
ティマ,巨人,10,0.143,0,0,3,0,0.143,0.143,0.286,21
戸郷 翔征,巨人,8,0.3,0,1,3,0,0.364,0.4,0.764,14
中川 皓太,巨人,24,0,0,0,0,0,0,0,0,0
中山 礼都,巨人,33,0.169,0,6,14,1,0.247,0.229,0.476,93
西舘 勇陽,巨人,2,0,0,0,0,0,0,0,0,2
則本 昂大,巨人,8,0.1,0,0,1,0,0.1,0.1,0.2,11
ハワード,巨人,2,0,0,0,0,0,0,0,0,2
萩尾 匡也,巨人,4,0,0,0,0,1,0.333,0,0.333,3
平山 功太,巨人,25,0.291,2,9,23,3,0.325,0.43,0.755,83
船迫 大雅,巨人,23,0,0,0,0,0,0,0,0,0
堀田 賢慎,巨人,11,0,0,0,0,0,0,0,0,0
マタ,巨人,3,0,0,0,0,0,0,0,0,5
マルティネス,巨人,28,0,0,0,0,0,0,0,0,0
増田 大輝,巨人,13,0.444,0,0,4,1,0.444,0.444,0.888,10
増田 陸,巨人,38,0.255,2,11,28,1,0.265,0.355,0.62,113
又木 鉄平,巨人,4,0,0,0,0,0,0,0,0,2
松本 剛,巨人,62,0.278,0,10,44,10,0.333,0.323,0.656,179
丸 佳浩,巨人,30,0.164,2,12,9,0,0.258,0.291,0.549,62
皆川 岳飛,巨人,8,0.125,0,0,1,0,0.222,0.125,0.347,9
宮原 駿介,巨人,5,0,0,0,0,0,0,0,0,0
森田 駿哉,巨人,3,0,0,0,0,0,0.333,0,0.333,3
山城 京平,巨人,1,0,0,0,0,0,0,0,0,0
山瀬 慎之助,巨人,5,0.231,1,2,3,0,0.231,0.538,0.769,13
吉川 尚輝,巨人,36,0.215,1,5,26,5,0.264,0.24,0.504,129
リチャード,巨人,3,0.125,1,1,1,0,0.125,0.5,0.625,8
ルシアーノ,巨人,11,0,0,0,0,0,0,0,0,0
若林 楽人,巨人,21,0.179,0,0,5,0,0.207,0.214,0.421,29
石黒 佑弥,阪神,11,0,0,0,0,0,0,0,0,1
井坪 陽生,阪神,2,0,0,0,0,0,0,0,0,2
