選手名,チーム,登板,勝利,敗戦,セーブ,ＨＰ,防御率,奪三振,勝率,投球回
赤星 優志,巨人,20,3,2,0,4,1.63,19,0.6,27.2
石川 達也,巨人,6,0,0,0,0,17.05,5,0,6.1
泉 圭輔,巨人,2,0,0,0,0,0,1,0,2
井上 温大,巨人,12,6,5,0,0,2.31,75,0.545,74
ウィットリー,巨人,10,3,3,0,0,2.61,65,0.5,58.2
北浦 竜次,巨人,11,0,0,0,2,10.24,5,0,9.2
大勢,巨人,29,1,1,3,21,2.39,29,0.5,26.1
高梨 雄平,巨人,14,1,0,0,6,1.23,11,1,7.1
竹丸 和幸,巨人,11,5,6,0,0,2.96,67,0.455,67
田中 瑛斗,巨人,30,1,0,1,22,0.36,16,1,25
田中 将大,巨人,10,3,3,0,0,3.52,40,0.5,53.2
田和 廉,巨人,25,0,0,0,2,1.61,15,0,22.1
戸郷 翔征,巨人,8,4,1,0,0,2.47,50,0.8,47.1
中川 皓太,巨人,24,2,0,0,10,1.86,18,1,19.1
西舘 勇陽,巨人,2,1,0,0,0,0.69,15,1,13
則本 昂大,巨人,8,2,3,0,0,3.91,32,0.4,46
ハワード,巨人,2,0,1,0,0,3.86,14,0,9.1
船迫 大雅,巨人,23,1,1,0,12,2.4,12,0.5,15
堀田 賢慎,巨人,11,1,0,0,1,0.61,11,1,14.2
マタ,巨人,3,0,1,0,0,3.29,15,0,13.2
マルティネス,巨人,28,1,2,22,3,1.71,30,0.333,26.1
又木 鉄平,巨人,4,1,1,0,1,3.18,7,0.5,11.1
宮原 駿介,巨人,5,1,0,0,1,2.08,3,1,4.1
森田 駿哉,巨人,3,0,0,0,0,6.92,8,0,13
山城 京平,巨人,1,0,0,0,0,22.5,1,0,2
ルシアーノ,巨人,11,0,1,0,6,3.27,8,0,11
石黒 佑弥,阪神,11,0,0,0,0,4.6,19,0,15.2
伊藤 将司,阪神,2,0,0,0,0,6.14,8,0,7.1
伊原 陵人,阪神,3,2,0,0,0,4.38,11,1,12.1
茨木 秀俊,阪神,3,1,0,0,0,6.39,10,1,12.2
岩貞 祐太,阪神,1,0,0,0,0,13.5,0,0,0.2
岩崎 優,阪神,21,1,2,9,7,2.7,19,0.333,20
大竹 耕太郎,阪神,10,3,5,0,0,2.18,39,0.375,62
及川 雅貴,阪神,18,1,0,0,3,5.17,8,1,15.2
