球団,リーグ,ポジション,選手,試合,刺殺,補殺,失策,併殺,捕逸,守備率,盗塁阻止率,更新日
阪神,セ,一塁手,大山 悠輔,69,595,36,5,47,,0.992,,2026/07/02
阪神,セ,一塁手,小野寺 暖,2,3,0,0,0,,1,,2026/07/02
阪神,セ,一塁手,木浪 聖也,2,18,4,0,3,,1,,2026/07/02
阪神,セ,一塁手,熊谷 敬宥,4,3,0,0,0,,1,,2026/07/02
阪神,セ,二塁手,熊谷 敬宥,4,5,10,0,2,,1,,2026/07/02
阪神,セ,二塁手,髙寺 望夢,2,1,8,0,2,,1,,2026/07/02
阪神,セ,二塁手,中野 拓夢,67,153,221,1,38,,0.997,,2026/07/02
阪神,セ,三塁手,木浪 聖也,2,1,7,1,1,,0.889,,2026/07/02
阪神,セ,三塁手,佐藤 輝明,53,34,67,8,7,,0.927,,2026/07/02
阪神,セ,三塁手,立石 正広,18,12,20,0,1,,1,,2026/07/02
阪神,セ,三塁手,元山 飛優,1,0,0,0,0,,0,,2026/07/02
阪神,セ,遊撃手,小幡 竜平,30,31,66,6,15,,0.942,,2026/07/02
阪神,セ,遊撃手,木浪 聖也,26,34,62,1,10,,0.99,,2026/07/02
阪神,セ,遊撃手,熊谷 敬宥,23,36,62,2,15,,0.98,,2026/07/02
阪神,セ,外野手,植田 海,3,0,0,0,0,,0,,2026/07/02
阪神,セ,外野手,岡城 快生,7,11,0,0,0,,1,,2026/07/02
阪神,セ,外野手,小野寺 暖,14,7,0,0,0,,1,,2026/07/02
阪神,セ,外野手,熊谷 敬宥,4,1,0,0,0,,1,,2026/07/02
阪神,セ,外野手,佐藤 輝明,18,34,0,2,0,,0.944,,2026/07/02
阪神,セ,外野手,島田 海吏,2,1,0,0,0,,1,,2026/07/02
阪神,セ,外野手,髙寺 望夢,52,89,2,1,1,,0.989,,2026/07/02
阪神,セ,外野手,立石 正広,4,8,0,0,0,,1,,2026/07/02
阪神,セ,外野手,近本 光司,24,46,2,1,0,,0.98,,2026/07/02
阪神,セ,外野手,中川 勇斗,6,11,0,0,0,,1,,2026/07/02
阪神,セ,外野手,濱田 太貴,3,3,0,0,0,,1,,2026/07/02
阪神,セ,外野手,福島 圭音,26,36,0,2,0,,0.947,,2026/07/02
阪神,セ,外野手,前川 右京,15,13,0,0,0,,1,,2026/07/02
阪神,セ,外野手,森下 翔太,71,120,3,2,0,,0.984,,2026/07/02
阪神,セ,捕手,梅野 隆太郎,11,90,9,0,0,0,1,0.1,2026/07/02
阪神,セ,捕手,榮枝 裕貴,1,1,0,0,0,0,1,0,2026/07/02
阪神,セ,捕手,坂本 誠志郎,42,285,40,4,4,1,0.988,0.276,2026/07/02
阪神,セ,捕手,嶋村 麟士朗,7,7,1,0,0,1,1,0,2026/07/02
阪神,セ,捕手,伏見 寅威,27,174,10,0,0,0,1,0.5,2026/07/02
阪神,セ,投手,石黒 佑弥,11,1,3,0,0,,1,,2026/07/02
阪神,セ,投手,伊藤 将司,2,0,2,0,0,,1,,2026/07/02
阪神,セ,投手,伊原 陵人,3,1,0,0,0,,1,,2026/07/02
阪神,セ,投手,茨木 秀俊,3,0,2,0,0,,1,,2026/07/02
阪神,セ,投手,岩貞 祐太,1,0,0,0,0,,0,,2026/07/02
阪神,セ,投手,岩崎 優,22,0,5,0,0,,1,,2026/07/02
阪神,セ,投手,大竹 耕太郎,10,0,12,0,1,,1,,2026/07/02
阪神,セ,投手,及川 雅貴,19,1,5,0,0,,1,,2026/07/02
阪神,セ,投手,木下 里都,12,1,2,0,0,,1,,2026/07/02
阪神,セ,投手,桐敷 拓馬,18,0,1,0,0,,1,,2026/07/02
阪神,セ,投手,工藤 泰成,23,2,6,0,1,,1,,2026/07/02
阪神,セ,投手,才木 浩人,14,4,9,0,0,,1,,2026/07/02
阪神,セ,投手,椎葉 剛,4,0,1,1,0,,0.5,,2026/07/02
阪神,セ,投手,下村 海翔,1,0,2,0,0,,1,,2026/07/02
阪神,セ,投手,髙橋 遥人,12,5,24,0,0,,1,,2026/07/02
阪神,セ,投手,津田 淳哉,2,0,1,0,0,,1,,2026/07/02
阪神,セ,投手,ドリス,27,2,2,0,0,,1,,2026/07/02
阪神,セ,投手,富田 蓮,1,0,0,0,0,,0,,2026/07/02
阪神,セ,投手,西 勇輝,6,0,3,0,0,,1,,2026/07/02
阪神,セ,投手,畠 世周,11,2,4,0,1,,1,,2026/07/02
阪神,セ,投手,早川 太貴,8,0,3,1,0,,0.75,,2026/07/02
阪神,セ,投手,村上 頌樹,14,5,14,0,1,,1,,2026/07/02
阪神,セ,投手,モレッタ,17,0,2,0,0,,1,,2026/07/02
阪神,セ,投手,門別 啓人,5,0,2,0,0,,1,,2026/07/02
阪神,セ,投手,湯浅 京己,20,0,3,0,0,,1,,2026/07/02
阪神,セ,投手,ルーカス,3,0,4,0,1,,1,,2026/07/02
巨人,セ,一塁手,大城 卓三,3,24,2,0,4,,1,,2026/07/02
巨人,セ,一塁手,岸田 行倫,1,3,0,0,1,,1,,2026/07/02
巨人,セ,一塁手,ダルベック,47,309,22,4,35,,0.988,,2026/07/02
巨人,セ,一塁手,ティマ,9,54,4,0,4,,1,,2026/07/02
巨人,セ,一塁手,増田 陸,32,219,15,3,19,,0.987,,2026/07/02
巨人,セ,一塁手,リチャード,1,8,1,0,2,,1,,2026/07/02
巨人,セ,二塁手,宇都宮 葵星,1,0,2,0,0,,1,,2026/07/02
巨人,セ,二塁手,浦田 俊輔,36,76,123,2,25,,0.99,,2026/07/02
巨人,セ,二塁手,門脇 誠,9,13,17,0,5,,1,,2026/07/02
巨人,セ,二塁手,増田 陸,2,3,2,0,2,,1,,2026/07/02
巨人,セ,二塁手,吉川 尚輝,34,60,89,0,20,,1,,2026/07/02
巨人,セ,三塁手,宇都宮 葵星,1,0,0,0,0,,0,,2026/07/02
巨人,セ,三塁手,浦田 俊輔,12,9,18,0,0,,1,,2026/07/02
巨人,セ,三塁手,門脇 誠,29,2,18,1,2,,0.952,,2026/07/02
巨人,セ,三塁手,小濱 佑斗,6,2,2,0,1,,1,,2026/07/02
巨人,セ,三塁手,坂本 勇人,24,11,25,0,3,,1,,2026/07/02
巨人,セ,三塁手,ダルベック,35,17,50,3,5,,0.957,,2026/07/02
巨人,セ,三塁手,吉川 尚輝,1,0,0,0,0,,0,,2026/07/02
巨人,セ,三塁手,リチャード,2,1,1,0,1,,1,,2026/07/02
巨人,セ,遊撃手,石塚 裕惺,2,4,4,0,2,,1,,2026/07/02
巨人,セ,遊撃手,泉口 友汰,56,74,149,6,33,,0.974,,2026/07/02
巨人,セ,遊撃手,浦田 俊輔,10,16,30,0,9,,1,,2026/07/02
巨人,セ,遊撃手,門脇 誠,2,0,4,0,0,,1,,2026/07/02
巨人,セ,遊撃手,小濱 佑斗,7,11,29,0,6,,1,,2026/07/02
巨人,セ,外野手,浅野 翔吾,7,12,0,0,0,,1,,2026/07/02
巨人,セ,外野手,宇都宮 葵星,1,1,0,0,0,,1,,2026/07/02
巨人,セ,外野手,キャベッジ,66,100,3,3,0,,0.972,,2026/07/02
巨人,セ,外野手,佐々木 俊輔,53,67,2,0,1,,1,,2026/07/02
巨人,セ,外野手,笹原 操希,1,3,0,0,0,,1,,2026/07/02
巨人,セ,外野手,中山 礼都,27,39,1,0,0,,1,,2026/07/02
巨人,セ,外野手,萩尾 匡也,1,0,0,0,0,,0,,2026/07/02
巨人,セ,外野手,平山 功太,23,31,1,0,0,,1,,2026/07/02
巨人,セ,外野手,増田 大輝,12,8,0,0,0,,1,,2026/07/02
巨人,セ,外野手,松本 剛,60,77,4,0,2,,1,,2026/07/02
巨人,セ,外野手,丸 佳浩,13,14,0,0,0,,1,,2026/07/02
巨人,セ,外野手,皆川 岳飛,3,2,0,0,0,,1,,2026/07/02
巨人,セ,外野手,若林 楽人,10,9,0,0,0,,1,,2026/07/02
巨人,セ,捕手,大城 卓三,35,277,16,2,1,1,0.993,0.278,2026/07/02
巨人,セ,捕手,甲斐 拓也,1,0,0,0,0,0,0,0,2026/07/02
巨人,セ,捕手,岸田 行倫,36,270,28,2,2,3,0.993,0.316,2026/07/02
巨人,セ,捕手,小林 誠司,6,23,1,0,0,0,1,0,2026/07/02
巨人,セ,捕手,山瀬 慎之助,4,31,1,0,1,0,1,0.333,2026/07/02
巨人,セ,投手,赤星 優志,21,3,4,0,0,,1,,2026/07/02
巨人,セ,投手,石川 達也,6,1,1,0,0,,1,,2026/07/02
巨人,セ,投手,泉 圭輔,2,0,0,0,0,,0,,2026/07/02
巨人,セ,投手,井上 温大,12,3,13,0,0,,1,,2026/07/02
巨人,セ,投手,ウィットリー,10,2,1,2,1,,0.6,,2026/07/02
巨人,セ,投手,北浦 竜次,11,0,2,0,0,,1,,2026/07/02
巨人,セ,投手,大勢,29,1,1,0,0,,1,,2026/07/02
巨人,セ,投手,高梨 雄平,14,0,2,0,0,,1,,2026/07/02
巨人,セ,投手,竹丸 和幸,11,3,7,0,0,,1,,2026/07/02
巨人,セ,投手,田中 瑛斗,31,3,0,0,0,,1,,2026/07/02
巨人,セ,投手,田中 将大,10,0,7,1,0,,0.875,,2026/07/02
巨人,セ,投手,田和 廉,26,4,4,0,1,,1,,2026/07/02
巨人,セ,投手,戸郷 翔征,8,0,3,0,0,,1,,2026/07/02
巨人,セ,投手,中川 皓太,24,0,3,1,0,,0.75,,2026/07/02
巨人,セ,投手,西舘 勇陽,3,0,2,0,0,,1,,2026/07/02
巨人,セ,投手,則本 昂大,8,0,4,0,1,,1,,2026/07/02
巨人,セ,投手,ハワード,2,0,1,0,0,,1,,2026/07/02
巨人,セ,投手,船迫 大雅,24,0,3,0,0,,1,,2026/07/02
巨人,セ,投手,堀田 賢慎,11,0,1,0,1,,1,,2026/07/02
巨人,セ,投手,マタ,3,0,2,0,0,,1,,2026/07/02
巨人,セ,投手,マルティネス,29,3,5,1,0,,0.889,,2026/07/02
巨人,セ,投手,又木 鉄平,4,2,0,0,0,,1,,2026/07/02
巨人,セ,投手,宮原 駿介,5,0,0,0,0,,0,,2026/07/02
巨人,セ,投手,森田 駿哉,3,0,2,0,0,,1,,2026/07/02
巨人,セ,投手,山城 京平,1,1,1,0,0,,1,,2026/07/02
巨人,セ,投手,ルシアーノ,11,0,1,0,1,,1,,2026/07/02
DeNA,セ,一塁手,井上 朋也,2,12,1,0,1,,1,,2026/07/02
DeNA,セ,一塁手,小田 康一郎,1,3,2,0,0,,1,,2026/07/02
DeNA,セ,一塁手,京田 陽太,1,1,0,0,0,,1,,2026/07/02
DeNA,セ,一塁手,九鬼 隆平,2,1,0,0,0,,1,,2026/07/02
DeNA,セ,一塁手,佐野 恵太,54,382,46,0,25,,1,,2026/07/02
DeNA,セ,一塁手,筒香 嘉智,16,114,12,2,8,,0.984,,2026/07/02
DeNA,セ,一塁手,ビシエド,4,26,1,1,4,,0.964,,2026/07/02
DeNA,セ,一塁手,三森 大貴,5,3,3,1,1,,0.857,,2026/07/02
DeNA,セ,二塁手,石上 泰輝,1,2,0,0,0,,1,,2026/07/02
DeNA,セ,二塁手,小田 康一郎,1,2,1,0,1,,1,,2026/07/02
DeNA,セ,二塁手,京田 陽太,3,4,8,1,2,,0.923,,2026/07/02
DeNA,セ,二塁手,成瀬 脩人,12,22,25,2,7,,0.959,,2026/07/02
DeNA,セ,二塁手,林 琢真,14,16,34,3,2,,0.943,,2026/07/02
DeNA,セ,二塁手,牧 秀悟,36,70,99,6,15,,0.966,,2026/07/02
DeNA,セ,二塁手,三森 大貴,18,23,43,0,9,,1,,2026/07/02
DeNA,セ,二塁手,宮下 朝陽,1,0,0,0,0,,0,,2026/07/02
DeNA,セ,三塁手,小田 康一郎,1,1,0,0,0,,1,,2026/07/02
DeNA,セ,三塁手,京田 陽太,1,1,1,0,0,,1,,2026/07/02
DeNA,セ,三塁手,柴田 竜拓,19,4,4,0,0,,1,,2026/07/02
DeNA,セ,三塁手,筒香 嘉智,21,17,17,1,0,,0.971,,2026/07/02
DeNA,セ,三塁手,成瀬 脩人,1,0,0,0,0,,0,,2026/07/02
DeNA,セ,三塁手,林 琢真,9,0,4,1,0,,0.8,,2026/07/02
DeNA,セ,三塁手,宮﨑 敏郎,43,22,44,2,5,,0.971,,2026/07/02
DeNA,セ,三塁手,宮下 朝陽,1,1,2,0,1,,1,,2026/07/02
DeNA,セ,三塁手,度会 隆輝,10,6,12,0,0,,1,,2026/07/02
DeNA,セ,遊撃手,石上 泰輝,24,28,60,3,10,,0.967,,2026/07/02
DeNA,セ,遊撃手,京田 陽太,27,33,55,1,8,,0.989,,2026/07/02
DeNA,セ,遊撃手,柴田 竜拓,1,0,3,0,0,,1,,2026/07/02
DeNA,セ,遊撃手,成瀬 脩人,5,7,12,0,3,,1,,2026/07/02
DeNA,セ,遊撃手,林 琢真,9,9,22,0,5,,1,,2026/07/02
DeNA,セ,遊撃手,宮下 朝陽,18,23,48,0,7,,1,,2026/07/02
DeNA,セ,外野手,井上 朋也,1,0,0,0,0,,0,,2026/07/02
DeNA,セ,外野手,エンカーナシオン,1,0,0,0,0,,0,,2026/07/02
DeNA,セ,外野手,蝦名 達夫,61,112,2,0,0,,1,,2026/07/02
DeNA,セ,外野手,梶原 昂希,8,15,0,0,0,,1,,2026/07/02
DeNA,セ,外野手,勝又 温史,45,89,1,0,0,,1,,2026/07/02
DeNA,セ,外野手,神里 和毅,32,17,0,0,0,,1,,2026/07/02
DeNA,セ,外野手,九鬼 隆平,1,0,0,0,0,,0,,2026/07/02
DeNA,セ,外野手,佐野 恵太,16,24,0,0,0,,1,,2026/07/02
DeNA,セ,外野手,ヒュンメル,31,40,0,3,0,,0.93,,2026/07/02
DeNA,セ,外野手,三森 大貴,16,32,1,0,0,,1,,2026/07/02
DeNA,セ,外野手,度会 隆輝,57,79,3,0,0,,1,,2026/07/02
DeNA,セ,捕手,戸柱 恭孝,13,90,4,0,0,2,1,0.125,2026/07/02
DeNA,セ,捕手,古市 尊,3,7,0,0,0,0,1,0,2026/07/02
DeNA,セ,捕手,松尾 汐恩,39,304,28,1,3,1,0.997,0.31,2026/07/02
DeNA,セ,捕手,山本 祐大,25,210,14,1,2,0,0.996,0.19,2026/07/02
DeNA,セ,投手,東 克樹,13,8,13,0,0,,1,,2026/07/02
DeNA,セ,投手,石田 健大,2,0,0,0,0,,0,,2026/07/02
DeNA,セ,投手,石田 裕太郎,13,7,8,0,0,,1,,2026/07/02
DeNA,セ,投手,伊勢 大夢,21,0,1,0,0,,1,,2026/07/02
DeNA,セ,投手,入江 大生,7,2,4,1,0,,0.857,,2026/07/02
DeNA,セ,投手,岩田 将貴,12,2,4,0,0,,1,,2026/07/02
DeNA,セ,投手,尾形 崇斗,4,1,0,0,0,,1,,2026/07/02
DeNA,セ,投手,片山 皓心,1,0,0,0,0,,0,,2026/07/02
DeNA,セ,投手,コックス,2,0,1,0,0,,1,,2026/07/02
DeNA,セ,投手,坂本 裕哉,28,5,7,2,1,,0.857,,2026/07/02
DeNA,セ,投手,篠木 健太郎,6,1,3,1,0,,0.8,,2026/07/02
DeNA,セ,投手,柴田 竜拓,1,0,0,0,0,,0,,2026/07/02
DeNA,セ,投手,島田 舜也,4,3,4,0,1,,1,,2026/07/02
DeNA,セ,投手,庄司 陽斗,1,0,1,0,0,,1,,2026/07/02
DeNA,セ,投手,平良 拳太郎,11,6,6,1,0,,0.923,,2026/07/02
DeNA,セ,投手,竹田 祐,5,4,3,1,0,,0.875,,2026/07/02
DeNA,セ,投手,武田 陸玖,1,0,0,0,0,,0,,2026/07/02
DeNA,セ,投手,デュプランティエ,2,0,0,0,0,,0,,2026/07/02
DeNA,セ,投手,中川 虎大,26,2,2,0,1,,1,,2026/07/02
DeNA,セ,投手,中川 颯,5,0,0,0,0,,0,,2026/07/02
DeNA,セ,投手,橋本 達弥,6,1,0,0,0,,1,,2026/07/02
DeNA,セ,投手,深沢 鳳介,3,1,2,1,0,,0.75,,2026/07/02
DeNA,セ,投手,堀岡 隼人,6,2,0,0,0,,1,,2026/07/02
DeNA,セ,投手,マルセリーノ,18,2,3,0,0,,1,,2026/07/02
DeNA,セ,投手,宮城 滝太,21,1,2,0,0,,1,,2026/07/02
DeNA,セ,投手,山﨑 康晃,23,1,3,1,1,,0.8,,2026/07/02
DeNA,セ,投手,吉野 光樹,12,0,1,0,0,,1,,2026/07/02
DeNA,セ,投手,ルイーズ,25,3,4,0,0,,1,,2026/07/02
DeNA,セ,投手,レイノルズ,30,6,5,0,0,,1,,2026/07/02
DeNA,セ,投手,若松 尚輝,11,4,3,0,0,,1,,2026/07/02
広島,セ,一塁手,坂倉 将吾,39,243,17,1,18,,0.996,,2026/07/02
広島,セ,一塁手,佐々木 泰,9,49,0,0,1,,1,,2026/07/02
広島,セ,一塁手,佐藤 啓介,3,20,1,0,1,,1,,2026/07/02
広島,セ,一塁手,辰見 鴻之介,1,1,0,0,0,,1,,2026/07/02
