選手名,球団名,対球団名,先発,救援,防御率,勝利,敗戦,HLD,セーブ,更新日
岩崎 優,阪神タイガース,横浜DeNAベイスターズ,3,0,0.000,0,1,2,0,2026/06/30
岩崎 優,阪神タイガース,読売ジャイアンツ,4,2,0.000,1,0,2,0,2026/06/30
岩崎 優,阪神タイガース,中日ドラゴンズ,4,0,0.000,0,0,4,0,2026/06/30
岩崎 優,阪神タイガース,広島東洋カープ,4,2,0.000,0,1,1,0,2026/06/30
岩崎 優,阪神タイガース,東京ヤクルトスワローズ,1,108,0.000,1,0,0,0,2026/06/30
岩崎 優,阪神タイガース,福岡ソフトバンクホークス,0,0,,0,0,0,0,2026/06/30
岩崎 優,阪神タイガース,北海道日本ハムファイターズ,0,0,,0,0,0,0,2026/06/30
岩崎 優,阪神タイガース,オリックス・バファローズ,2,0,0.000,0,2,0,0,2026/06/30
岩崎 優,阪神タイガース,東北楽天ゴールデンイーグルス,1,0,0.000,0,1,0,0,2026/06/30
岩崎 優,阪神タイガース,埼玉西武ライオンズ,0,0,,0,0,0,0,2026/06/30
岩崎 優,阪神タイガース,千葉ロッテマリーンズ,1,0,0.000,0,1,0,0,2026/06/30
岩貞 祐太,阪神タイガース,横浜DeNAベイスターズ,1,13,0.000,0,0,0,0,2026/06/30
岩貞 祐太,阪神タイガース,読売ジャイアンツ,0,0,,0,0,0,0,2026/06/30
岩貞 祐太,阪神タイガース,中日ドラゴンズ,0,0,,0,0,0,0,2026/06/30
岩貞 祐太,阪神タイガース,広島東洋カープ,0,0,,0,0,0,0,2026/06/30
岩貞 祐太,阪神タイガース,東京ヤクルトスワローズ,0,0,,0,0,0,0,2026/06/30
岩貞 祐太,阪神タイガース,福岡ソフトバンクホークス,0,0,,0,0,0,0,2026/06/30
岩貞 祐太,阪神タイガース,北海道日本ハムファイターズ,0,0,,0,0,0,0,2026/06/30
岩貞 祐太,阪神タイガース,オリックス・バファローズ,0,0,,0,0,0,0,2026/06/30
岩貞 祐太,阪神タイガース,東北楽天ゴールデンイーグルス,0,0,,0,0,0,0,2026/06/30
岩貞 祐太,阪神タイガース,埼玉西武ライオンズ,0,0,,0,0,0,0,2026/06/30
岩貞 祐太,阪神タイガース,千葉ロッテマリーンズ,0,0,,0,0,0,0,2026/06/30
西 勇輝,阪神タイガース,横浜DeNAベイスターズ,0,0,,0,0,0,0,2026/06/30
